,label,text,comments,total_marks,pred_topic,instructor_pred,report_pred,true_topic_idx,true_topic,confidence,sentence_tr_pred
34,Question 1e.,"Coconut oil consists almost entirely of fats and oils. The typical fatty acid composition of coconut oil is shown in the following table. Name Formula Percentage (%) caprylic acid 16 capric acid 10 20 lauric acid 12 24 49 myristic acid 14 28 18 palmitic acid 16 32 stearic acid 18 36 oleic acid 18 34 linoleic acid 18 32 Source: adapted from Boateng, Ansong, Owusu and Steiner-Asiedu, ‘Coconut oil and palm oil’s role in nutrition, health and national development: review’, Ghana Medical Journal 2016, National Library of Medicine, <ncbi.nlm.nih.gov/pmc/articles/PMC5044790/>Explain why vitamin is soluble in coconut oil. Scientists are investigating the possibility of using coconut oil with an aqueous electrolyte of potassium hydroxide, KOH(aq), to power fuel cell.", The first mark was awarded for recognising that both vitamin E and coconut oil are non-polar compounds. The second mark was awarded for recognising that the vitamin E would then dissolve in coconut oil because of the dispersion forces that would form between these two compounds.,4,"Structure, nomenclature and properties of organic compounds",6,8,6,"Structure, nomenclature and properties of organic compounds",0.2971838,7
35,Question 1f.i.,"Coconut oil consists almost entirely of fats and oils. The typical fatty acid composition of coconut oil is shown in the following table. Name Formula Percentage (%) caprylic acid 16 capric acid 10 20 lauric acid 12 24 49 myristic acid 14 28 18 palmitic acid 16 32 stearic acid 18 36 oleic acid 18 34 linoleic acid 18 32 Source: adapted from Boateng, Ansong, Owusu and Steiner-Asiedu, ‘Coconut oil and palm oil’s role in nutrition, health and national development: review’, Ghana Medical Journal 2016, National Library of Medicine, <ncbi.nlm.nih.gov/pmc/articles/PMC5044790/>Write the half-equation that would occur at the cathode of coconut oil fuel cell in an alkaline electrolyte."," O2(g)  +  2H2O(l)  +  4e−    4OH−(aq) Students were required to present this equation, with correct states (available in the Data Book), using a single-headed arrow. This was a challenging question for students, demonstrating the difficulty they continue to have with interpreting redox questions.",3,"Structure, nomenclature and properties of organic compounds",6,5,2,Primary galvanic cells and fuel cells as sources of energy,0.2748029,0
36,Question 1f.ii.,"Coconut oil consists almost entirely of fats and oils. The typical fatty acid composition of coconut oil is shown in the following table. Name Formula Percentage (%) caprylic acid 16 capric acid 10 20 lauric acid 12 24 49 myristic acid 14 28 18 palmitic acid 16 32 stearic acid 18 36 oleic acid 18 34 linoleic acid 18 32 Source: adapted from Boateng, Ansong, Owusu and Steiner-Asiedu, ‘Coconut oil and palm oil’s role in nutrition, health and national development: review’, Ghana Medical Journal 2016, National Library of Medicine, <ncbi.nlm.nih.gov/pmc/articles/PMC5044790/>State one design feature of the cathode that helps the fuel cell operate efficiently."," The design feature of the cathode could have been any of the following concepts:
porous / high surface area / catalyst added to surface.",3,"Structure, nomenclature and properties of organic compounds",6,5,2,Primary galvanic cells and fuel cells as sources of energy,0.3203222,7
37,Question 1g.,"Coconut oil consists almost entirely of fats and oils. The typical fatty acid composition of coconut oil is shown in the following table. Name Formula Percentage (%) caprylic acid 16 capric acid 10 20 lauric acid 12 24 49 myristic acid 14 28 18 palmitic acid 16 32 stearic acid 18 36 oleic acid 18 34 linoleic acid 18 32 Source: adapted from Boateng, Ansong, Owusu and Steiner-Asiedu, ‘Coconut oil and palm oil’s role in nutrition, health and national development: review’, Ghana Medical Journal 2016, National Library of Medicine, <ncbi.nlm.nih.gov/pmc/articles/PMC5044790/>State one reason why it may be better to obtain energy from coconut oil using fuel cell rather than direct combustion.", Students were required to link the concept of higher efficiency being associated with the fuel cell when compared with direct combustion.,3,"Structure, nomenclature and properties of organic compounds",6,2,2,Primary galvanic cells and fuel cells as sources of energy,0.37149006,0
38,Question 1h.,"Coconut oil consists almost entirely of fats and oils. The typical fatty acid composition of coconut oil is shown in the following table. Name Formula Percentage (%) caprylic acid 16 capric acid 10 20 lauric acid 12 24 49 myristic acid 14 28 18 palmitic acid 16 32 stearic acid 18 36 oleic acid 18 34 linoleic acid 18 32 Source: adapted from Boateng, Ansong, Owusu and Steiner-Asiedu, ‘Coconut oil and palm oil’s role in nutrition, health and national development: review’, Ghana Medical Journal 2016, National Library of Medicine, <ncbi.nlm.nih.gov/pmc/articles/PMC5044790/>Give one reason why coconut oil may not be practical fuel for fuel cell. Do not refer to environmental issues or sustainability in your answer."," Students were required to provide a viable reason and then link this to the practical application of a fuel cell. Typical examples included: ‘Coconut oil is viscous (reason) and this means that it may be difficult for the fuel to then flow effectively through the cell (application).’ ‘Coconut oil is non-polar and therefore not soluble in water (reason) and this means that it may be difficult for the fuel to effectively interact with the aqueous alkaline electrolyte (application).’ Many students believed that fuel cells require gaseous fuels to be able to operate; however, this is not a requirement of a fuel cell. There are numerous applications where the fuel is a liquid or a solute present in a solution.",4,"Structure, nomenclature and properties of organic compounds",6,0,2,Primary galvanic cells and fuel cells as sources of energy,0.32867664,0
39,Question 2a.,"Cow’s milk contains proteins, fats and carbohydrates. The main carbohydrate in cow’s milk is lactose. The reaction for the breakdown of lactose is catalysed by the enzyme lactase as shown below. CH OH HO OH OH CH OH OH OH OH CH OH HO OH OH OH CH OH HO OH OH OH reactant lactase α-lactoselinkage has been circled with dashed line in the lactose molecule shown above. Name the circled linkage.", Glycosidic link,3,Reactions of organic compounds,7,13,6,"Structure, nomenclature and properties of organic compounds",0.50485986,7
40,Question 2b.i.,"Cow’s milk contains proteins, fats and carbohydrates. The main carbohydrate in cow’s milk is lactose. The reaction for the breakdown of lactose is catalysed by the enzyme lactase as shown below. CH OH HO OH OH CH OH OH OH OH CH OH HO OH OH OH CH OH HO OH OH OH reactant lactase α-lactoseExplain what the GI of food indicates."," The first mark was awarded if the student conveyed the concept that the glycaemic index is a measure of the rise in the blood glucose levels after a food is eaten. For the second mark, students were then required to provide one piece of additional material from the following list: Relative to glucose. Glucose has a GI value of 100 (reference compound). The blood glucose levels should be measured 2 hours after the ingestion of food. GI is linked to the rate at which the food is being metabolised to produce glucose.",4,Reactions of organic compounds,7,0,10,Medicinal chemistry,0.37220877,0
41,Question 2b.ii.,"Cow’s milk contains proteins, fats and carbohydrates. The main carbohydrate in cow’s milk is lactose. The reaction for the breakdown of lactose is catalysed by the enzyme lactase as shown below. CH OH HO OH OH CH OH OH OH OH CH OH HO OH OH OH CH OH HO OH OH OH reactant lactase α-lactoseState why the breakdown of lactose, as shown above, contributes to the GI of lactose.", A glucose molecule is produced when lactose is hydrolysed / metabolised / broken down. Significant issues arose with this question where students incorrectly believed that the hydrolysis of lactose produced two glucose units rather than glucose and galactose.,3,Reactions of organic compounds,7,0,10,Medicinal chemistry,0.43495938,7
42,Question 2c.i.,"Cow’s milk contains proteins, fats and carbohydrates. The main carbohydrate in cow’s milk is lactose. The reaction for the breakdown of lactose is catalysed by the enzyme lactase as shown below. CH OH HO OH OH CH OH OH OH OH CH OH HO OH OH OH CH OH HO OH OH OH reactant lactase α-lactoseProline is found both in cow’s milk and in the enzyme lactase. Proline is not an essential amino acid. The structure of proline is shown in the data book.State why proline is not an essential amino acid.", Proline can be synthesised in the body.,3,Reactions of organic compounds,7,7,10,Medicinal chemistry,0.5640586,7
43,Question 2c.ii.,"Cow’s milk contains proteins, fats and carbohydrates. The main carbohydrate in cow’s milk is lactose. The reaction for the breakdown of lactose is catalysed by the enzyme lactase as shown below. CH OH HO OH OH CH OH OH OH OH CH OH HO OH OH OH CH OH HO OH OH OH reactant lactase α-lactoseProline is found both in cow’s milk and in the enzyme lactase. Proline is not an essential amino acid. The structure of proline is shown in the data book.Draw the structure of proline as it would be in an acidic solution."," or To gain this mark, students must have shown the correct number of hydrogens on the nitrogen atom and the nitrogen atom must also be shown with an associated positive charge. A mark was not awarded if the charge was associated with the hydrogens in this structure.",3,Reactions of organic compounds,7,14,6,"Structure, nomenclature and properties of organic compounds",0.5399199,7
44,Question 2c.iii.,"Cow’s milk contains proteins, fats and carbohydrates. The main carbohydrate in cow’s milk is lactose. The reaction for the breakdown of lactose is catalysed by the enzyme lactase as shown below. CH OH HO OH OH CH OH OH OH OH CH OH HO OH OH OH CH OH HO OH OH OH reactant lactase α-lactoseProline is found both in cow’s milk and in the enzyme lactase. Proline is not an essential amino acid. The structure of proline is shown in the data book.Proline is found in proteins throughout the human body. Identify two types of enzyme-catalysed chemical reactions involving proline in the human body.", Any two of the following statements were awarded marks. Proline can: undergo condensation reactions to form proteins/enzymes be formed from hydrolysis reactions of proteins/enzymes undergo oxidation reactions as it is broken down into smaller molecules.,4,Reactions of organic compounds,7,7,10,Medicinal chemistry,0.5931602,7
45,Question 2c.iv.,"Cow’s milk contains proteins, fats and carbohydrates. The main carbohydrate in cow’s milk is lactose. The reaction for the breakdown of lactose is catalysed by the enzyme lactase as shown below. CH OH HO OH OH CH OH OH OH OH CH OH HO OH OH OH CH OH HO OH OH OH reactant lactase α-lactoseProline is found both in cow’s milk and in the enzyme lactase. Proline is not an essential amino acid. The structure of proline is shown in the data book.Explain why proline has two optical isomers. v. Only one of proline’s optical isomers is found in lactase. Explain why lactase must contain the correct optical isomer of proline to function as an enzyme in the digestion of cow’s milk.", The first mark was awarded for recognition that proline contains a chiral carbon. The second mark was awarded when the student did one of the following: identified the chiral carbon in the molecule described how it could be identified by having four different groups attached stated that the two optical isomers formed were non-superimposable mirror images (enantiomers).,4,Reactions of organic compounds,7,6,6,"Structure, nomenclature and properties of organic compounds",0.5651075,7
46,Question 3a.i.,Propane is used as fuel for barbeques.Calculate the amount of energy released when 140.0 of propane is completely combusted.," The first mark was awarded for recognition that the incorrect optical isomer of proline would alter the primary structure of the enzyme (wrong conformation) and cause the active site of lactase to change shape. The second mark was awarded for recognition that with a changed active site in the lactase, the lactose substrate would then no longer have the correct conformation/shape to match. Hence the lactose in milk would not be as effectively digested. A significant number of students failed to distinguish that the proline was part of the primary amino acid sequence of the enzyme and instead referred to proline as the substrate in this reaction.",4,Measuring changes in chemical reactions,1,7,10,Medicinal chemistry,0.8725457,1
47,Question 3a.ii.,Propane is used as fuel for barbeques.Write thermochemical equation for the complete combustion of propane at SLC., Heat of combustion is 50.5 kJ g−1 Therefore 50.5  140 = 7.07 103 kJ (7.06 103 kJ was also a valid response). Incorrect units such as kJ g−1 were commonly seen but could not be awarded marks.,3,Measuring changes in chemical reactions,1,1,0,Carbon-based fuels,0.83493483,1
48,Question 3a.iii.,Propane is used as fuel for barbeques.Sketch the energy profile for the complete combustion of propane on the axes provided below. energy reaction progress," C3H8(g) + 5O2(g) → 3CO2(g) + 4H2O(l)           ΔH  = −2220 kJ mol−1  or  −2220 kJ Either kJ mol−1 or kJ were accepted as viable units for ΔH. The first mark was awarded for a correctly balanced chemical equation with correct states. The second mark was awarded for the correct ΔH value with correct units. This question was well done, although some students were still attempting to use ΔH  = −50.5 kJ g−1, which is not applicable for a thermochemical equation. Since the question explicitly stated at SLC, the states had to be (g) for propane and (l) for water, and this also was not always recognised.",4,Measuring changes in chemical reactions,1,1,0,Carbon-based fuels,0.64486927,0
49,Question 3a.iv.,Propane is used as fuel for barbeques.State how the energy profile for the incomplete combustion of propane would differ from the diagram you drew in part, The mark was awarded for the correct exothermic profile being shown.,3,Measuring changes in chemical reactions,1,0,0,Carbon-based fuels,0.62894636,0
50,Question 3a.iii,Justify your answer.," The first mark was awarded for recognising that the products of incomplete combustion needed to have a higher energy than shown for the complete combustion (but still below the reactants). The second mark was awarded when the student identified this as being due to the incomplete oxidation of the reactants, which is the reason for less energy being released. Students commonly tried to explain the reason for the energy difference as being due to the ‘incomplete combustion’ rather than incomplete oxidation, but as this term was already stated in the stem of the question, this was not an acceptable approach.",4,Extent of chemical reactions,4,0,0,Carbon-based fuels,0.0,11
51,Question 3b.i.,"An equation for the complete combustion of ethanol, OH, is shown below. OH (l) 3O (g) 2CO (g) 3H O(l)96.0 of ethanol completely combusts and the CO produced is collected. Calculate the volume of tank required to store the captured CO at 15.0 °C and 100.0 kPa.", The first mark was awarded for the correct calculation of n(ethanol) = 96.0/46.0 = 2.09 mol The second mark was awarded for the correct calculation of n(CO2) = 2  2.09 = 4.17 mol The third mark was awarded for the correct calculation of the volume with units. V(CO2) = (4.17  8.31  288) / 100 = 99.9 L,5,Measuring changes in chemical reactions,1,1,0,Carbon-based fuels,0.6461637,1
52,Question 3b.ii.,"An equation for the complete combustion of ethanol, OH, is shown below. OH (l) 3O (g) 2CO (g) 3H O(l)The molar mass of ethanol is 46.0 mol −1 and the molar mass of propane is 44.0 mol −1 State whether the flashpoint of ethanol is higher or lower than the flashpoint of propane. Explain the reasons for your choice with reference to the structure of both molecules."," The first mark was awarded for stating that the flashpoint of ethanol is higher than the flashpoint of propane. The second mark was awarded when the student clearly recognised the structural component of either ethanol and/or propane that was the major factor affecting the flashpoint. Typically, students referred to the presence of the hydroxyl group as being the major factor in the structure of ethanol. The third mark was awarded for discussion around the need for a greater amount of energy and/or the higher temperature that would be required to break the intermolecular bonds in ethanol.",5,Measuring changes in chemical reactions,1,6,6,"Structure, nomenclature and properties of organic compounds",0.3226347,1
53,Question 4a.i.,"The diagram below shows reaction pathway starting with but-1-ene. but-1-ene O(g)/H PO (s) 300 °C (aq)/Cr 2− (aq) Compound Compound Compound Compound butanoic acid ethanamineBut-1-ene can react with water vapour at 300 °C with PO (s) as catalyst to produce two different products, Compound and Compound R. Only Compound can react to produce butanoic acid.Name the type of reaction that forms Compound and Compound from but-1-ene.", Addition or hydration,3,Reactions of organic compounds,7,14,7,Reactions of organic compounds,0.3358014,7
54,Question 4a.ii.,"The diagram below shows reaction pathway starting with but-1-ene. but-1-ene O(g)/H PO (s) 300 °C (aq)/Cr 2− (aq) Compound Compound Compound Compound butanoic acid ethanamineBut-1-ene can react with water vapour at 300 °C with PO (s) as catalyst to produce two different products, Compound and Compound R. Only Compound can react to produce butanoic acid.Give the IUPAC name of Compound in the box provided on the diagram above.", Butan-2-ol or 2-butanol,3,Reactions of organic compounds,7,8,6,"Structure, nomenclature and properties of organic compounds",0.3008179,7
55,Question 4b.,"The diagram below shows reaction pathway starting with but-1-ene. but-1-ene O(g)/H PO (s) 300 °C (aq)/Cr 2− (aq) Compound Compound Compound Compound butanoic acid ethanamineAs shown in the diagram, compound can oxidise completely with acidified potassium dichromate solution, (aq)/Cr 2− (aq), to form butanoic acid. Compound can also undergo incomplete oxidation to form Compound T. Draw the structural formula of Compound in the space below.",,3,Reactions of organic compounds,7,14,7,Reactions of organic compounds,0.30493632,7
56,Question 4c.,"The diagram below shows reaction pathway starting with but-1-ene. but-1-ene O(g)/H PO (s) 300 °C (aq)/Cr 2− (aq) Compound Compound Compound Compound butanoic acid ethanamineUnder certain conditions, butanoic acid reacts with ethanamine to produce Compound S. Draw the skeletal formula for Compound in the box provided on the diagram on page 20.", The first mark was awarded for showing a correct amide linkage. The second mark was awarded for the correct skeletal representation of the final molecule.,4,Reactions of organic compounds,7,6,7,Reactions of organic compounds,0.29834008,7
57,Question 4d.,The diagram below shows reaction pathway starting with but-1-ene. but-1-ene O(g)/H PO (s) 300 °C (aq)/Cr 2− (aq) Compound Compound Compound Compound butanoic acid ethanamineButanoic acid can also react with ethanol in the presence of suitable catalyst to produce an ester. The molar mass of the ester produced is 116.0 mol −1 Calculate the atom economy for this reaction., The first mark was awarded for the % atom economy formula being applied: 100 The second mark was awarded for the correct value of 86.6% (87% or 86.57%). This was not a significant figure question.,4,Reactions of organic compounds,7,8,7,Reactions of organic compounds,0.39691666,7
58,Question 5a.,"Hydrogen gas, (g), can be produced by reacting methane, CH (g), with steam, O(g), at 300 °C in the presence of suitable catalyst. The equation for the reaction is shown below. CH (g) 2H O(g) CO (g) 4H (g) ∆H +165 kJ mol −1State source of CH (g)."," Any one of the following: 
organic waste matter / biomass / coal seam gas / cattle / biogas / anaerobic respiration / fossil fuels / natural gas / fracking.",3,Measuring changes in chemical reactions,1,0,0,Carbon-based fuels,0.52906483,1
59,Question 5b.i.,"Hydrogen gas, (g), can be produced by reacting methane, CH (g), with steam, O(g), at 300 °C in the presence of suitable catalyst. The equation for the reaction is shown below. CH (g) 2H O(g) CO (g) 4H (g) ∆H +165 kJ mol −1suitable catalyst plus 25.0 mol of CH (g) and 25.0 mol of O(g) are placed into an empty, sealed 100.0 container at 300 °C. After the reaction has reached equilibrium, the container contains 6.12 mol H (g).Write an expression for the equilibrium constant.",,3,Measuring changes in chemical reactions,1,14,4,Extent of chemical reactions,0.5373623,1
60,Question 5b.ii.,"Hydrogen gas, (g), can be produced by reacting methane, CH (g), with steam, O(g), at 300 °C in the presence of suitable catalyst. The equation for the reaction is shown below. CH (g) 2H O(g) CO (g) 4H (g) ∆H +165 kJ mol −1suitable catalyst plus 25.0 mol of CH (g) and 25.0 mol of O(g) are placed into an empty, sealed 100.0 container at 300 °C. After the reaction has reached equilibrium, the container contains 6.12 mol H (g).Calculate the equilibrium constant, for this reaction at 300 °C."," =  1.90  10−5 M2 The first mark was awarded for the correct equilibrium amounts. The second mark was awarded for the correct equilibrium concentrations. The third mark was awarded for the correctly calculated value for K. The fourth mark was awarded for the correct units being shown. This question was generally well done, with clear structured responses that allowed for easy allocation of consequential marks.",6,Measuring changes in chemical reactions,1,4,4,Extent of chemical reactions,0.54724383,1
61,Question 5c.,"Hydrogen gas, (g), can be produced by reacting methane, CH (g), with steam, O(g), at 300 °C in the presence of suitable catalyst. The equation for the reaction is shown below. CH (g) 2H O(g) CO (g) 4H (g) ∆H +165 kJ mol −1The temperature of the equilibrium system is decreased. State how the decrease in temperature changes the shape of the Maxwell-Boltzmann distribution. You may use diagrams in your answer.", ‘Narrower’ and ‘taller/higher’ were required to be mentioned in any written response. Students could have shown this change with a clearly annotated plot.,3,Extent of chemical reactions,4,14,3,Rates of chemical reactions,0.509605,1
62,Question 6a.,Scientists are currently researching an experimental secondary cell. The following reaction takes place in the experimental cell during discharge. Fe (SO (aq) 14 10 (aq) 2FeSO (aq) 14 (aq) HSO (aq) (aq) diagram of the experimental cell is shown below. pump pump pump pump load membrane carbon electrode carbon electrode Fe (SO (aq) FeSO (aq) 14 10 (aq) 14 (aq) (aq) (aq)State the energy transformation that occurs in the experimental cell during discharge., chemical energy   electrical energy,3,Production of chemicals using electrolysis,5,5,2,Primary galvanic cells and fuel cells as sources of energy,0.4336564,2
63,Question 6b.,Scientists are currently researching an experimental secondary cell. The following reaction takes place in the experimental cell during discharge. Fe (SO (aq) 14 10 (aq) 2FeSO (aq) 14 (aq) HSO (aq) (aq) diagram of the experimental cell is shown below. pump pump pump pump load membrane carbon electrode carbon electrode Fe (SO (aq) FeSO (aq) 14 10 (aq) 14 (aq) (aq) (aq)Which reactant is the oxidising agent in the experimental cell during discharge? Use oxidation numbers to justify your answer., The first mark was awarded for either Fe2(SO4)3 or Fe3+ as the oxidising agent. The second mark was awarded for indicating that the oxidation number for iron changed from +3 to +2 during this process and hence why Fe3+ was the oxidising agent.,4,Primary galvanic cells and fuel cells as sources of energy,2,2,2,Primary galvanic cells and fuel cells as sources of energy,0.63636434,2
64,Question 6c.i.,Scientists are currently researching an experimental secondary cell. The following reaction takes place in the experimental cell during discharge. Fe (SO (aq) 14 10 (aq) 2FeSO (aq) 14 (aq) HSO (aq) (aq) diagram of the experimental cell is shown below. pump pump pump pump load membrane carbon electrode carbon electrode Fe (SO (aq) FeSO (aq) 14 10 (aq) 14 (aq) (aq) (aq)Write the half-equation for the reaction that occurs in the 14 /C 14 10 half-cell during recharge., C14H8O8S2  +  2H+  +  2e−    C14H10O8S2,3,Primary galvanic cells and fuel cells as sources of energy,2,5,2,Primary galvanic cells and fuel cells as sources of energy,0.53304774,2
65,Question 6c.ii.,Scientists are currently researching an experimental secondary cell. The following reaction takes place in the experimental cell during discharge. Fe (SO (aq) 14 10 (aq) 2FeSO (aq) 14 (aq) HSO (aq) (aq) diagram of the experimental cell is shown below. pump pump pump pump load membrane carbon electrode carbon electrode Fe (SO (aq) FeSO (aq) 14 10 (aq) 14 (aq) (aq) (aq)State the polarity of the 14 /C 14 10 half-cell electrode during recharge., Negative,3,Production of chemicals using electrolysis,5,13,2,Primary galvanic cells and fuel cells as sources of energy,0.5109585,2
66,Question 6c.iii.,Scientists are currently researching an experimental secondary cell. The following reaction takes place in the experimental cell during discharge. Fe (SO (aq) 14 10 (aq) 2FeSO (aq) 14 (aq) HSO (aq) (aq) diagram of the experimental cell is shown below. pump pump pump pump load membrane carbon electrode carbon electrode Fe (SO (aq) FeSO (aq) 14 10 (aq) 14 (aq) (aq) (aq)Explain how the polarity of the electrodes is established during recharge to allow the recharge to occur.," The first mark was awarded for the recognition that the electrode polarity does not change when the system is changed from discharge to recharge. The relative reductive and oxidative strength of the chemicals present in the galvanic cell is what determines the polarity, and this is fixed for both the discharge and recharge processes. The second mark was awarded for the recognition that the external power source causes the process to change at each electrode. This means that during the recharge the positive electrode becomes the anode and oxidation occurs here. This reversal of processes means that the original chemicals can be re-formed and hence the cell is recharged. Students frequently referred to the electrode polarity ‘swapping’ during recharge and this is an incorrect statement.",4,Production of chemicals using electrolysis,5,2,2,Primary galvanic cells and fuel cells as sources of energy,0.57365507,2
67,Question 7a.i.,"Molecule contains only carbon atoms, hydrogen atoms and one oxygen atom. The mass spectrum of molecule is shown below. 100 80 60 40 20 10 20 30 40 50 60 70 80 90 m/z Data: SDBS Web <sdbs.db.aist.go.jp>, National Institute of Advanced Industrial Science and TechnologyState the molecular formula of molecule V. Justify your answer by using the information in the mass spectrum."," The first mark was awarded for the correct molecular formula of C5H10O. The second mark was awarded for reference to the parent ion being located at m/z = 86, and hence the molar mass of the compound must have been 86 g mol−1.",4,Instrumental analysis of organic compounds,9,9,9,Instrumental analysis of organic compounds,0.28229958,6
68,Question 7a.ii.,"Molecule contains only carbon atoms, hydrogen atoms and one oxygen atom. The mass spectrum of molecule is shown below. 100 80 60 40 20 10 20 30 40 50 60 70 80 90 m/z Data: SDBS Web <sdbs.db.aist.go.jp>, National Institute of Advanced Industrial Science and TechnologyState why there is small peak at m/z 87. The NMR spectrum of molecule is shown below. 11 10 ppm Data: SDBS Web <sdbs.db.aist.go.jp>, National Institute of Advanced Industrial Science and Technology", The peak at m/z = 87 is an isotopic peak caused by a 13C isotope being present in the molecule.,3,Instrumental analysis of organic compounds,9,9,9,Instrumental analysis of organic compounds,0.56337225,6
69,Question 7b.,"Molecule contains only carbon atoms, hydrogen atoms and one oxygen atom. The mass spectrum of molecule is shown below. 100 80 60 40 20 10 20 30 40 50 60 70 80 90 m/z Data: SDBS Web <sdbs.db.aist.go.jp>, National Institute of Advanced Industrial Science and TechnologyState what information the doublet at 1.1 ppm provides about the structure of the molecule. The 13 NMR spectrum of molecule is shown below. 200 180 160 140 120 100 80 60 40 20 ppm Data: SDBS Web <sdbs.db.aist.go.jp>, National Institute of Advanced Industrial Science and Technology", The doublet seen in the spectrum is formed according to the n+1 rule and is due to the presence of a single non-equivalent hydrogen located on an adjacent carbon atom.,3,Instrumental analysis of organic compounds,9,9,9,Instrumental analysis of organic compounds,0.55406725,6
70,Question 7c.,"Molecule contains only carbon atoms, hydrogen atoms and one oxygen atom. The mass spectrum of molecule is shown below. 100 80 60 40 20 10 20 30 40 50 60 70 80 90 m/z Data: SDBS Web <sdbs.db.aist.go.jp>, National Institute of Advanced Industrial Science and TechnologyIn the space below, draw structural formula of molecule that is consistent with the information provided in parts a.–c. The infrared (IR) spectrum of molecule is shown below. 4000 3000 2000 1500 1000 500 100 50 transmittance (%) wave number (cm −1 Data: SDBS Web <sdbs.db.aist.go.jp>, National Institute of Advanced Industrial Science and Technology"," The first mark was awarded for any structure drawn that was a valid isomer of C5H10O. The second mark was awarded if this structure then had either four carbon environments or three hydrogen environments (i.e. was consistent with the patterns seen in the NMR spectra). The third mark was awarded only if the student produced a correctly drawn, full structural diagram for the compound 3-methylbutanone.",5,Instrumental analysis of organic compounds,9,6,9,Instrumental analysis of organic compounds,0.48744226,6
71,Question 7d.,"Molecule contains only carbon atoms, hydrogen atoms and one oxygen atom. The mass spectrum of molecule is shown below. 100 80 60 40 20 10 20 30 40 50 60 70 80 90 m/z Data: SDBS Web <sdbs.db.aist.go.jp>, National Institute of Advanced Industrial Science and TechnologyExplain why different frequencies of infrared radiation can be absorbed by the same molecule as shown in the spectrum above."," The first mark was awarded for the recognition that the different bonds, or the functional groups, are what is causing the absorption of different frequencies of infrared radiation. The second and third marks could be obtained from discussion of any two of the following possibilities:
strength of bonds / mass of atoms attached to bonds / bond length / bond dipoles / electronegativity differences / different types of molecular vibrations (i.e. stretching, wagging, flexing, etc.).",5,Instrumental analysis of organic compounds,9,9,9,Instrumental analysis of organic compounds,0.5121486,9
72,Question 8a.,"student performed an experiment to compare the energy content of dry broad beans and dry soybeans. The student followed the method below. 1.	 Fill beaker with water and let it sit for hours to come to room temperature. 2.	 Crush two dry broad beans to powder. 3.	 Weigh and record the mass of the dry broad-bean powder, using clean watch glass. 4.	 Set up the equipment on heatproof mat as shown in the diagram below. can watch glass and dry broad-bean powder heatproof mat holes 5.	 Ignite the dry broad-bean powder. 6.	 Suspend the 450 mL can containing 300.0 mL of water directly over the burning dry broad-bean powder. digital thermometer metal skewer 450 mL aluminium can and 300.0 mL water can watch glass and ignited dry broad-bean powder heatproof mat holes 7.	 Record the temperature of the water in the 450 mL can every 30 seconds until the dry broad-bean powder has stopped burning and the temperature of the water has begun to drop. 8.	 When the temperature of the water in the 450 mL can is below 30 °C, empty the water from the 450 mL can and wait until both cans return to room temperature. 9.	 Repeat steps to using dry soybeans instead of dry broad beans.Explain why the dry beans were crushed in step of the experimental method."," The first mark was awarded for recognising that the surface area of the beans was increased. The second mark was awarded for reference to any one of the following:
increasing the rate of reaction / ensuring complete combustion / ensuring greater efficiency of combustion.",4,How is scientific inquiry used to investigate the sustainable production of energy and/or materials?,11,1,3,Rates of chemical reactions,0.4343185,1
73,Question 8b.,"student performed an experiment to compare the energy content of dry broad beans and dry soybeans. The student followed the method below. 1.	 Fill beaker with water and let it sit for hours to come to room temperature. 2.	 Crush two dry broad beans to powder. 3.	 Weigh and record the mass of the dry broad-bean powder, using clean watch glass. 4.	 Set up the equipment on heatproof mat as shown in the diagram below. can watch glass and dry broad-bean powder heatproof mat holes 5.	 Ignite the dry broad-bean powder. 6.	 Suspend the 450 mL can containing 300.0 mL of water directly over the burning dry broad-bean powder. digital thermometer metal skewer 450 mL aluminium can and 300.0 mL water can watch glass and ignited dry broad-bean powder heatproof mat holes 7.	 Record the temperature of the water in the 450 mL can every 30 seconds until the dry broad-bean powder has stopped burning and the temperature of the water has begun to drop. 8.	 When the temperature of the water in the 450 mL can is below 30 °C, empty the water from the 450 mL can and wait until both cans return to room temperature. 9.	 Repeat steps to using dry soybeans instead of dry broad beans.Identify the dependent variable in this experiment.", Any of the following: energy content / temperature change of water / final temperature of water. Just stating ‘temperature’ was not sufficient to be awarded the mark.,3,How is scientific inquiry used to investigate the sustainable production of energy and/or materials?,11,4,12,Investigation design,0.41445214,1
